track_name,artist_name,playlists
Pedro,"Bispo,D'ay",
Oxigenio (feat. LON3R JOHNY & Piri_bxd),"Bispo,D'ay,LON3R JOHNY,Piri_bxd",
NOS2 (feat. Deezy),"Bispo,Deezy",
Como Da (with Gson),"Bispo,Gson",
Essa Saia,"Bispo,Ivandro",
Nao da pa parar,"Bispo,Papillon",
Pormenores,"Bispo,Sam The Kid",
Like Whoa,Black V Neck,
Rap D1 Gajo,Blasph,
Heavy Metal,"Bleach Mane,Mizu",
Look Alive (feat. Drake),"BlocBoy JB,Drake",
Thotiana,Blueface,
Knockin' On Heaven's Door,Bob Dylan,
No Woman No Cry,Bob Marley & The Wailers,
Don't Worry Be Happy,Bobby McFerrin,
Hot N*gga,Bobby Shmurda,
Living Life (feat. Rowdy Rebel),"Bobby Shmurda,Rowdy Rebel",
Shadows,"Bonobo,Jordan Rakei",
Baile da Serra,"Braao,LIT UP,Dj Nattan",
The Story,Brandi Carlile,
Heaven,Bryan Adams,
Woo Hah!! Got You All in Check (The Jay-Dee Bounce Remix) - 2021 Remaster,"Busta Rhymes,Jay Dee",
Look Over Your Shoulder (feat. Kendrick Lamar),"Busta Rhymes,Kendrick Lamar",
Cafeteria (feat. Gunna),"CHASE B,Don Toliver,Gunna",
Let Me Take You,"CID,Westend",
Whoopty,CJ,
A Minha Praia,"CLASSE CRUA,Sam The Kid",
O Leaozinho,Caetano Veloso,
Envy Me,Calboy,
Chariot (feat. Meek Mill Lil Durk & Young Thug),"Calboy,Meek Mill,Lil Durk,Young Thug",
Dancing On My Own,Calum Scott,
You Are The Reason,Calum Scott,
Una Palabra,Carlos Varela,
Yeah Yeah,Catarina H,
Cash,Catarina H,
Cinema,Catarina H,
Wavy Plugg,"Catarina H,eddy0",
Low,"Catarina H,eddy0",
Space,"Catarina H,sora9k",
Marseille,Catching Flies,
Doja,Central Cee,
CRG (feat. Dave),"Central Cee,Dave",
10 Carros,"Chefin,Mainstreet,LB Unico",
Tropa do Mais Novo,"Chefin,Vulgo FK,Mainstreet,Ajaxx",
VianaViceCity,Chico da Tina,
Freicken,Chico da Tina,
Deitei Tarde Acordei Late,Chico da Tina,
Nos Pimba,Chico da Tina,
Ronaldo,Chico da Tina,
Todo o Dia,Chico da Tina,
Resort,Chico da Tina,
Romantico,"Chico da Tina,DJ Wkilla",
Baby - Remix LYP2 (feat. Lil Noon),"Chico da Tina,Lil Noon",
F#ck Forex,"Chico da Tina,eddy0",
F#CK FOREX,"Chico da Tina,eddy0",
Princesa dos meus sonhos,"Chico da Tina,tripsyhell",
linda,"Chico da Tina,tripsyhell",
Castolo,"Chico da Tina,tripsyhell",
Chico Uzi Vert,"Chico da Tina,tripsyhell",
Special,"Chico da Tina,tripsyhell",
Chico & Tripsy,"Chico da Tina,tripsyhell",
Eu sei que ela volta,"Chico da Tina,tripsyhell",
mensagens do whatsapp (feat. Lil Ze & VirginGod),"Chico da Tina,tripsyhell,Lil Ze,VirginGod",
O meu drip brilha (feat. Puto Joule),"Chico da Tina,tripsyhell,puto joule",
Fada,"Chico da Tina,tripsyhell,vano1337",
Love Sosa,Chief Keef,
Les,Childish Gambino,
Redbone,Childish Gambino,
This Is America,Childish Gambino,
Bounce,Chippie,
Vidro,Chippie,
Danger,Chippie,
COMEBACK,Chippie,
Bowling,Chippie,
Teimoso #2,Chippie,
Linha,"Chippie,Ruben Carrington",
Look At Me Now (feat. Lil' Wayne & Busta Rhymes),"Chris Brown,Lil Wayne,Busta Rhymes",
Go Crazy,"Chris Brown,Young Thug",
Ease My Mind,"Chris Lake,Abel Balder",
jar of hearts,Christina Perri,
Rap Sh*t,"Classified,Dax,Snak The Ripper",
El Layali,Claudius Lawdy,
Love You Like That,Cloonee,
Tripasia,"Cloonee,Brisotti",
Mi Amor,"Cloonee,Wade",
Players,Coi Leray,
Every Teardrop Is a Waterfall,Coldplay,
Trouble,Coldplay,
The Hardest Part,Coldplay,
Lost+ (with Jay-Z),Coldplay,
Talk,Coldplay,
A Sky Full of Stars,Coldplay,
Speed of Sound,Coldplay,
Shiver,Coldplay,
Up&Up,Coldplay,
The Scientist,Coldplay,
Yellow,Coldplay,
True Love,Coldplay,
God Put a Smile upon Your Face,Coldplay,
In My Place,Coldplay,
Fix You,Coldplay,
Adventure of a Lifetime,Coldplay,
Strawberry Swing,Coldplay,
Orphans,Coldplay,
Hymn for the Weekend,Coldplay,
Life in Technicolor ii,Coldplay,
Everglow - Edit,Coldplay,
Miracles,Coldplay,
Violet Hill,Coldplay,
Charlie Brown,Coldplay,
Viva La Vida,Coldplay,
Clocks,Coldplay,
Paradise,Coldplay,
Everglow,Coldplay,
Magic,Coldplay,
Miracles (Someone Special),"Coldplay,Big Sean",
Princess of China - Radio Edit,"Coldplay,Rihanna",
Scatter Brain (feat. Ludacris & JID),"Conway the Machine,Ludacris,JID",
Ouch (That Hurts),Cooliecut,
Been Around,Cordae,
Old niggas,Cordae,
Kung Fu,Cordae,
Make Up Your Mind,Cordae,
Lost & Found,Cordae,
Have Mercy,Cordae,
Super,Cordae,
06 dreamin,Cordae,
Thornton Street,Cordae,
Wintertime,Cordae,
Taxes (from the Netflix Series We The People),Cordae,
Champagne Glasses (feat. Freddie Gibbs & Stevie Wonder),"Cordae,Freddie Gibbs,Stevie Wonder",
No Bad News (feat. Kanye West),"Cordae,Kanye West",
Sinister (feat. Lil Wayne),"Cordae,Lil Wayne",
More Life (feat. Q Tip),"Cordae,Q-Tip",
Fala Baixo,Cunamata,
Cafeina,"DJ Dadda,Plutonio",
The Art of Storytellin Pt. 4 (feat. Outkast & Marsha Ambrosius),"DJ Drama,Outkast,Marsha Ambrosius",
Guardian,"DJ HANSEN,Snoop Dogg,Rakim,Jadakiss",
POPSTAR (feat. Drake),"DJ Khaled,Drake",
Pandora,"DJ Matt D,Menor MC,MC GP,Vulgo FK",
Outro,"DJ Sas,Maradox",
Re-tratamento,Da Weasel,
BOP,DaBaby,
Goin Baby,DaBaby,
Masterpiece,DaBaby,
VIBEZ,DaBaby,
Suge,DaBaby,
Ball If I Want To,DaBaby,
Lonely (with Lil Wayne),"DaBaby,Lil Wayne",
BLIND (feat. Young Thug),"DaBaby,Young Thug",
Vizao de Cria 2,"Dallass,Anezzi,Tz da Coronel,Caio Luccas,PJ HOUDINI,MC Maneirinho,NADAMAL,Filipe Ret",
Skipping Stones,"Dan Reynolds,Hans Zimmer",
Strangers (feat. A$AP Rocky and Run The Jewels),"Danger Mouse,Black Thought,A$AP Rocky,Run The Jewels",
Screwface Capital,Dave,
Location (feat. Burna Boy),"Dave,Burna Boy",
Sprinter,"Dave,Central Cee",
Clash (feat. Stormzy),"Dave,Stormzy",
Dear God,Dax,
My Last Words,Dax,
Self Proclaimed,Dax,
She Cheated Again,Dax,
APOCALYPSE,Dax,
Be Your Fucking Self,Dax,
Child of God,Dax,
Book Of Revelations,Dax,
Dear Mom,Dax,
Don't Wanna Die Today,Dax,
I Want,Dax,
JOKER,Dax,
Propaganda,"Dax,Tom MacDonald",
i don't want another sorry,"Dax,Trippie Redd",
Verdade Ou Consequencia,Dealema,
Sala 101,Dealema,
Be Alright,Dean Lewis,
Lose My Mind - Acoustic,Dean Lewis,
Diz-me So,"Deau,Bezegol",
REBOLA TI TXON,"Deejay Rifox,TIA VIVIX,Active Boyz",
Mo Dred,"Deezy,Monsta",
I Know You So Well,"Denver Grey,David Eppik",
CLOUT COBAIN | CLOUT CO13A1N,Denzel Curry,
Ultimate,Denzel Curry,
DIET_,"Denzel Curry,Kenny Beats",
Broke,Dero Vibez,
Life Goal,"Dero Vibez,Real,Magno",
Gaiola,Di0g0,
Retrato,Di0g0,
Juvena,Dillaz,
